Time,pixels_from_encoder,pixels_from_cv2
18.9086819,[[[600 518]]],"(691, 533)"
18.9465674,[[[607 517]]],"(697, 532)"
18.9930133,[[[614 514]]],"(701, 531)"
19.0331014,[[[623 512]]],"(704, 530)"
19.0771215,[[[635 508]]],"(707, 528)"
19.1214699,[[[644 504]]],"(710, 526)"
19.1634123,[[[655 499]]],"(713, 525)"
19.2080079,[[[662 494]]],"(727, 516)"
19.2485921,[[[671 489]]],"(731, 512)"
19.2952295,[[[680 483]]],"(736, 508)"
19.3412341,[[[686 479]]],"(741, 505)"
19.3825949,[[[692 475]]],"(748, 501)"
19.4272816,[[[699 470]]],"(754, 501)"
19.4716344,[[[706 464]]],"(761, 496)"
19.518129,[[[712 457]]],"(767, 493)"
19.5609911,[[[716 452]]],"(772, 490)"
19.6073328,[[[717 452]]],"(777, 487)"
19.6515279,[[[720 453]]],"(794, 470)"
19.6990342,[[[723 451]]],"(797, 464)"
19.7462071,[[[728 447]]],"(800, 460)"
19.7885527,[[[727 443]]],"(802, 458)"
19.8339536,[[[722 447]]],"(802, 460)"
19.8759072,[[[719 456]]],"(802, 461)"
19.9217346,[[[712 466]]],"(802, 459)"
19.9643233,[[[701 476]]],"(803, 456)"
20.0066949,[[[691 484]]],"(799, 453)"
20.0462886,[[[680 491]]],"(794, 461)"
20.0917646,[[[670 496]]],"(788, 468)"
20.1343347,[[[658 501]]],"(781, 475)"
20.1770265,[[[639 509]]],"(774, 482)"
20.2245827,[[[617 515]]],"(767, 489)"
20.2605024,[[[597 520]]],"(761, 493)"
20.3041942,[[[579 522]]],"(756, 498)"
20.3553077,[[[563 522]]],"(749, 500)"
20.415712,[[[548 523]]],"(714, 525)"
20.4579754,[[[537 523]]],"(705, 529)"
20.497454,[[[524 522]]],"(698, 532)"
20.5415167,[[[508 520]]],"(692, 533)"
20.5774016,[[[487 517]]],"(687, 535)"
20.6229826,[[[461 511]]],"(683, 536)"
20.6666591,[[[433 503]]],"(680, 536)"
20.7088065,[[[407 494]]],"(674, 537)"
20.7547286,[[[391 487]]],"(667, 538)"
20.7957026,[[[385 485]]],"(660, 539)"
20.8408961,[[[392 488]]],"(624, 539)"
20.8820659,[[[405 493]]],"(616, 538)"
20.9293702,[[[421 499]]],"(609, 537)"
20.9713185,[[[436 504]]],"(606, 536)"
21.0151889,[[[447 507]]],"(606, 536)"
21.0594588,[[[452 509]]],"(611, 537)"
21.103754,[[[456 510]]],"(616, 538)"
21.145817,[[[466 512]]],"(622, 539)"
21.1901075,[[[483 517]]],"(627, 540)"
21.2263014,[[[511 523]]],"(631, 540)"
21.265178,[[[544 529]]],"(634, 540)"
21.3109669,[[[586 534]]],"(642, 539)"
21.3532666,[[[620 537]]],"(649, 539)"
21.4003744,[[[644 537]]],"(658, 539)"
21.4443823,[[[659 537]]],"(670, 539)"
21.4903227,[[[669 536]]],"(684, 538)"
21.5371489,[[[681 535]]],"(697, 537)"
21.5833939,[[[689 534]]],"(709, 534)"
21.627147,[[[693 534]]],"(719, 533)"
21.6710944,[[[699 533]]],"(733, 524)"
21.7109104,[[[697 533]]],"(736, 524)"
21.7487907,[[[700 533]]],"(738, 531)"
21.7945264,[[[700 533]]],"(739, 530)"
21.8453587,[[[695 533]]],"(741, 524)"
21.887581,[[[691 534]]],"(743, 524)"
21.9354922,[[[681 535]]],"(742, 524)"
21.9792141,[[[672 536]]],"(743, 524)"
22.0235608,[[[663 537]]],"(743, 524)"
22.0684186,[[[653 537]]],"(742, 524)"
22.1128075,[[[643 537]]],"(735, 524)"
22.1568376,[[[631 537]]],"(734, 525)"
22.1997702,[[[617 536]]],"(731, 524)"
22.2447847,[[[597 535]]],"(729, 524)"
22.2861433,[[[577 533]]],"(726, 525)"
