Time,pixels_from_encoder,pixels_from_cv2
22.791425,[[[666 537]]],"(586, 537)"
22.8397702,[[[668 537]]],"(587, 537)"
22.8890364,[[[668 537]]],"(591, 537)"
22.9371657,[[[668 537]]],"(591, 537)"
22.9902244,[[[667 537]]],"(592, 537)"
23.0528081,[[[665 537]]],"(592, 537)"
23.0975121,[[[665 537]]],"(593, 536)"
23.1480365,[[[663 537]]],"(592, 537)"
23.202574,[[[662 537]]],"(592, 537)"
23.2482637,[[[661 537]]],"(592, 537)"
23.3050254,[[[660 537]]],"(591, 537)"
23.354022,[[[660 537]]],"(591, 536)"
23.3978965,[[[660 537]]],"(590, 537)"
23.4521835,[[[660 537]]],"(589, 537)"
23.5064068,[[[660 537]]],"(589, 536)"
23.5549793,[[[661 537]]],"(589, 537)"
23.6037167,[[[661 537]]],"(589, 536)"
23.6533663,[[[662 537]]],"(589, 537)"
23.7061509,[[[663 537]]],"(589, 536)"
23.7575219,[[[663 537]]],"(590, 537)"
23.8102226,[[[662 537]]],"(590, 537)"
23.8630857,[[[661 537]]],"(590, 537)"
23.9174477,[[[661 537]]],"(590, 537)"
23.9636769,[[[661 537]]],"(590, 537)"
24.0142014,[[[661 537]]],"(589, 537)"
24.0614678,[[[661 537]]],"(589, 537)"
24.1142369,[[[661 537]]],"(589, 536)"
24.1676908,[[[661 537]]],"(589, 536)"
24.2223298,[[[661 537]]],"(589, 536)"
24.285876,[[[661 537]]],"(590, 536)"
24.3391598,[[[661 537]]],"(590, 536)"
24.3887971,[[[661 537]]],"(590, 536)"
24.4474213,[[[661 537]]],"(590, 536)"
24.4941031,[[[661 537]]],"(590, 536)"
24.5487847,[[[661 537]]],"(590, 536)"
24.6032294,[[[661 537]]],"(590, 536)"
24.6697593,[[[661 537]]],"(590, 537)"
24.7362403,[[[661 537]]],"(590, 537)"
24.7905643,[[[662 537]]],"(590, 536)"
24.8405327,[[[662 537]]],"(590, 536)"
24.8884446,[[[662 537]]],"(590, 537)"
24.9536237,[[[662 537]]],"(590, 536)"
25.0030395,[[[664 537]]],"(590, 535)"
25.0485209,[[[667 537]]],"(590, 537)"
25.0997436,[[[676 536]]],"(590, 537)"
25.1579404,[[[688 536]]],"(590, 537)"
25.2059293,[[[695 535]]],"(592, 537)"
25.2528729,[[[704 533]]],"(594, 537)"
25.3028671,[[[715 532]]],"(597, 535)"
25.3533575,[[[723 530]]],"(609, 538)"
25.4021353,[[[727 530]]],"(612, 538)"
25.4506995,[[[728 531]]],"(616, 538)"
25.5198702,[[[719 532]]],"(620, 537)"
25.5871883,[[[711 534]]],"(623, 536)"
25.6426446,[[[710 534]]],"(623, 539)"
25.6980042,[[[716 533]]],"(619, 539)"
25.747664,[[[731 532]]],"(614, 539)"
25.7955886,[[[749 529]]],"(614, 539)"
25.851752,[[[776 525]]],"(620, 539)"
25.9056498,[[[805 519]]],"(633, 538)"
25.9543314,[[[815 515]]],"(633, 538)"
26.0072306,[[[811 515]]],"(642, 537)"
26.05495,[[[800 519]]],"(657, 538)"
26.1063053,[[[774 525]]],"(665, 536)"
26.1657002,[[[749 529]]],"(662, 537)"
26.2256568,[[[740 529]]],"(652, 539)"
26.2754377,[[[737 531]]],"(641, 539)"
26.3271159,[[[748 529]]],"(641, 539)"
26.3753327,[[[762 527]]],"(630, 538)"
26.4247574,[[[771 525]]],"(630, 538)"
26.4786736,[[[779 521]]],"(633, 539)"
26.5276987,[[[787 522]]],"(643, 538)"
26.5773579,[[[782 523]]],"(646, 539)"
26.6301092,[[[768 525]]],"(649, 537)"
26.684439,[[[763 527]]],"(651, 537)"
26.7442601,[[[761 527]]],"(650, 537)"
26.8090776,[[[751 528]]],"(639, 540)"
26.8788863,[[[760 527]]],"(640, 539)"
26.9398211,[[[775 523]]],"(641, 538)"
26.9937874,[[[786 523]]],"(636, 539)"
27.0559875,[[[796 520]]],"(638, 539)"
27.1030668,[[[793 520]]],"(644, 538)"
27.1517731,[[[771 524]]],"(652, 538)"
27.2083364,[[[749 529]]],"(652, 513)"
27.2590637,[[[756 524]]],"(654, 539)"
27.3093796,[[[777 513]]],"(644, 539)"
27.3631762,[[[791 518]]],"(634, 538)"
